pert_id	cmap_name	moa	canonical_smiles	inchi_key	moa_l1000	moa_image
BRD-K72166146	BRD-K72166146		CN1C[C@@H](C[C@H]2[C@H]1Cc1c[nH]c3cccc2c13)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O	LUZRJRNZXALNLM-JGRZULCMSA-N	Serotonin receptor agonist	serotonin receptor agonist
BRD-K78567475	dolastatin-10		CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)c1nccs1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C	OFDNQWIFNXBECV-VFSYNPLYSA-N	Tubulin inhibitor|Immunostimulant|Microtubule inhibitor|Tubulin polymerisation inhibitor	tubulin polymerization inhibitor
BRD-A02367930	BRD-A02367930		C[C@]12CCC3C(CCc4cc(O)ccc34)C1CC[C@@]2(O)C#C	BFPYWIDHMRZLRN-OQPPHWFISA-N	Estrogen receptor agonist|DNA directed DNA polymerase stimunlant|Estrogenic component in oral contraceptives	estrogen receptor agonist|estrogenic hormone
BRD-A49765801	BRD-A49765801		CC1(C)O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)CC[C@]5(C)C4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO	POPFMWWJOGLOIF-KYSSJFEUSA-N	Glucocorticoid receptor agonist	glucocorticoid receptor agonist
BRD-A13133631	BRD-A13133631		C[C@H]1CC2C3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)C2(C)C=CC(=O)C=C12	FAOZLTXFLGPHNG-KXWDGVDDSA-N	Glucocorticoid receptor agonist	glucocorticoid receptor agonist
BRD-K76674262	BRD-K76674262		COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@H]1[C@H]2c3cc4OCOc4cc3CCN3CCC[C@]23C=C1OC	HYFHYPWGAURHIV-JFIAXGOJSA-N	Protein synthesis inhibitor	protein synthesis inhibitor
BRD-K62627508	RG-7388		COc1cc(ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@](C#N)([C@H]1c1cccc(Cl)c1F)c1ccc(Cl)cc1F)C(O)=O	TVTXCJFHQKSQQM-LJQIRTBHSA-N		MDM inhibitor
BRD-K74305673	BRD-K74305673		Oc1ccc(Cl)cc1C(=O)Nc1cc(cc(c1)C(F)(F)F)C(F)(F)F	CHILCFMQWMQVAL-UHFFFAOYSA-N	IKK inhibitor|NFkB pathway inhibitor	IKK inhibitor|NFkB pathway inhibitor
BRD-K01815685	BRD-K01815685		OCc1c[nH]c2ccccc12	IVYPNXXAYMYVSP-UHFFFAOYSA-N	Aryl hydrocarbon receptor agonist|Indoleamine 2,3-dioxygenase inhibitor	aryl hydrocarbon receptor agonist|indoleamine 2,3-dioxygenase inhibitor
BRD-K82225283	BRD-K82225283		O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)O[N+]([O-])=O	YWXYYJSYQOXTPL-SLPGGIOYSA-N	Nitric oxide stimulant	nitric oxide stimulant
BRD-A66419424	MLN-9708		CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B1OC(=O)CC(CC(O)=O)(O1)C(O)=O	YTXSYWAKVMZICI-PVCZSOGJSA-N	Proteasome inhibitor	proteasome inhibitor
BRD-K33141550	L-NAME		COC(=O)[C@@H](N)CCCNC(=N)N[N+]([O-])=O	KCWZGJVSDFYRIX-YFKPBYRVSA-N		nitric oxide synthase inhibitor
BRD-K26011976	BRD-K26011976		COc1cc(O)c(cc1C=CC(=O)c1ccc(O)cc1)C(C)(C)C=C	KAZSKMJFUPEHHW-UHFFFAOYSA-N	Topoisomerase inhibitor	topoisomerase inhibitor
BRD-K69236721	VX-809		Cc1ccc(NC(=O)C2(CC2)c2ccc3OC(F)(F)Oc3c2)nc1-c1cccc(c1)C(O)=O	UFSKUSARDNFIRC-UHFFFAOYSA-N		CFTR channel agonist
BRD-K63750851	BRD-K63750851		COc1c(C)c2COC(=O)c2c(O)c1CC=C(/C)CCC(O)=O	HPNSFSBZBAHARI-RUDMXATFSA-N	Dehydrogenase inhibitor|Inositol monophosphatase inhibitor	dehydrogenase inhibitor|inositol monophosphatase inhibitor
BRD-A39415247	BRD-A39415247		C[C@]12CCC3C(CCC4=CC(=O)CC[C@H]34)C1CC[C@@]2(O)C#C	VIKNJXKGJWUCNN-FOEMKWDFSA-N	Progesterone receptor agonist	progesterone receptor agonist
BRD-K43966364	BRD-K43966364		CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(O)=O	BPLBGHOLXOTWMN-MBNYWOFBSA-N	Bacterial cell wall synthesis inhibitor	bacterial cell wall synthesis inhibitor
BRD-K67844266	MLN-4924		NS(=O)(=O)OC[C@@H]1C[C@H](C[C@@H]1O)n1ccc2c(N[C@H]3CCc4ccccc34)ncnc12	MPUQHZXIXSTTDU-QXGSTGNESA-N	Nedd activating enzyme inhibitor	nedd activating enzyme inhibitor
BRD-K47869605	BRD-K47869605		COc1cc(cc(OC)c1OC)[C@H]1[C@@H]2[C@H](COC2=O)[C@@H](O)c2cc3OCOc3cc12	YJGVMLPVUAXIQN-XVVDYKMHSA-N	Microtubule inhibitor|Tubulin inhibitor	microtubule inhibitor|tubulin polymerization inhibitor
BRD-K23875128	BRD-K23875128		c1[nH]c2ccccc2c1c3ccncc3	LLJRXVHJOJRCSM-UHFFFAOYSA-N	Rho associated kinase inhibitor	
BRD-K21361524	KPT-330		FC(F)(F)c1cc(cc(c1)C(F)(F)F)-c1ncn(C=C/C(=O)NNc2cnccn2)n1	DEVSOMFAQLZNKR-RJRFIUFISA-N		exportin antagonist
BRD-A47364545	BRD-A47364545		C[C@H]1C2Cc3ccc(O)cc3[C@@]1(C)CCN2CC=C	LGQCVMYAEFTEFN-VUOHQMJNSA-N		sigma receptor agonist
BRD-K84798689	BRD-K84798689		Cc1c2c(oc1S(O)(=O)=O)-c1ccc3c(CCCC3(C)C)c1C(=O)C2=O	UJCACMLMPLLRGW-UHFFFAOYSA-N	Inward rectifier potassium channel activator	potassium channel activator
BRD-K26619122	BRD-K26619122		COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2CC[C@H](NC(C)=O)c3cc(=O)c(SC)ccc3-c2c1OC	LEQAKWQJCITZNK-AXHKHJLKSA-N	GABA receptor antagonist	GABA receptor antagonist
BRD-K41708980	BRD-K41708980		CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@]4(F)[C@H](O)C[C@]3(C)[C@]2(O1)C(=O)CO	YNDXUCZADRHECN-MUQQULFASA-N	Immunosuppressant|Corticosteroid agonist|Glucocorticoid receptor agonist	glucocorticoid receptor agonist|immunosuppressant
BRD-K41996876	tyrphostin-1		COc1ccc(C=C(C#N)C#N)cc1	UOHFCPXBKJPCAD-UHFFFAOYSA-N	EGFR inhibitor	
BRD-K62391742	GDC-0199		CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1	LQBVNQSMGBZMKD-UHFFFAOYSA-N		BCL inhibitor
BRD-A50311610	meclizine	CAR agonist	Cc1cccc(CN2CCN(CC2)C(c2ccccc2)c2ccc(Cl)cc2)c1	OCJYIGYOJCODJL-UHFFFAOYSA-N	CAR agonist	constitutive androstane receptor (CAR) agonist
BRD-A50998626	palomid-529	Akt inhibitor	COc1ccc(COc2cc3oc(=O)c4cc(ccc4c3cc2OC)C(C)O)cc1	YEAHTLOYHVWAKW-UHFFFAOYSA-N	AKT inhibitor|MTOR inhibitor|Fibroblast growth factor inhibitor|VEGFR inhibitor	AKT inhibitor|mTOR inhibitor
BRD-K70301465	ibrutinib	BTK inhibitor	Nc1ncnc2n(nc(-c3ccc(Oc4ccccc4)cc3)c12)[C@@H]1CCCN(C1)C(=O)C=C	XYFPWWZEPKGCCK-GOSISDBHSA-N	BTK inhibitor	Bruton's tyrosine kinase (BTK) inhibitor
BRD-A12230535	nutlin-3	MDM inhibitor	COc1ccc(C2=NC(C(N2C(=O)N2CCNC(=O)C2)c2ccc(Cl)cc2)c2ccc(Cl)cc2)c(OC(C)C)c1	BDUHCSBCVGXTJM-UHFFFAOYSA-N	MDM inhibitor	MDM inhibitor
BRD-K64538373	Ro-4987655	MEK inhibitor	OCCONC(=O)c1cc(CN2OCCCC2=O)c(F)c(F)c1Nc1ccc(I)cc1F	FIMYFEGKMOCQKT-UHFFFAOYSA-N		MEK inhibitor
BRD-A67373739	AICA-ribonucleotide	AMPK activator	NC(=O)c1ncn(C2OC(COP(O)(O)=O)C(O)C2O)c1N	NOTGFIUVDGNKRI-UHFFFAOYSA-N	AMPK activator	
BRD-K83837640	JNJ-26481585	HDAC inhibitor	Cn1cc(CNCC2CCN(CC2)c2ncc(cn2)C(=O)NO)c2ccccc12	PAWIYAYFNXQGAP-UHFFFAOYSA-N	HDAC inhibitor	HDAC inhibitor
BRD-K12184916	NVP-BEZ235	MTOR inhibitor	Cn1c2cnc3ccc(cc3c2n(-c2ccc(cc2)C(C)(C)C#N)c1=O)-c1cnc2ccccc2c1	JOGKUKXHTYWRGZ-UHFFFAOYSA-N	MTOR inhibitor|PI3K inhibitor	mTOR inhibitor|PI3K inhibitor
BRD-K64785675	TG-100115	PI3K inhibitor	Nc1nc(N)c2nc(-c3cccc(O)c3)c(nc2n1)-c1cccc(O)c1	UJIAQDJKSXQLIT-UHFFFAOYSA-N		PI3K inhibitor
BRD-A00376169	KBG	Neprilysin inhibitor	OC1O[C@@H]2COC(O[C@H]2[C@H](O)[C@H]1O)c1ccccc1	FOLRUCXBTYDAQK-SFZUHQLGSA-N	Neprilysin inhibitor	neprilysin inhibitor
BRD-K78659596	ixazomib	Proteasome inhibitor	CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O	MXAYKZJJDUDWDS-LBPRGKRZSA-N	Proteasome inhibitor	proteasome inhibitor
BRD-K08109215	I-BET-762	Bromodomain inhibitor	CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc12	AAAQFGUYHFJNHI-SFHVURJKSA-N		bromodomain inhibitor
BRD-K99475619	genz-644282	Topoisomerase inhibitor	CNCCn1c2c(cnc3cc4OCOc4cc23)c2cc(OC)c(OC)cc2c1=O	BAORCAMWLWRZQG-UHFFFAOYSA-N	Topoisomerase inhibitor	topoisomerase inhibitor
BRD-K75844781	mCPP	Serotonin receptor agonist	Clc1cccc(c1)N1CCNCC1	VHFVKMTVMIZMIK-UHFFFAOYSA-N	Serotonin receptor agonist	serotonin receptor agonist
BRD-K01824921	DPCPX	Adenosine receptor antagonist	CCCn1c2[nH]c(nc2c(=O)n(CCC)c1=O)C1CCCC1	FFBDFADSZUINTG-UHFFFAOYSA-N	Adenosine receptor antagonist	adenosine receptor antagonist
BRD-K62965247	tipifarnib-P2	Farnesyltransferase inhibitor	Cn1cncc1[C@@](N)(c1ccc(Cl)cc1)c1ccc2n(C)c(=O)cc(-c3cccc(Cl)c3)c2c1	PLHJCIYEEKOWNM-HHHXNRCGSA-N	Farnesyltransferase inhibitor	farnesyltransferase inhibitor
BRD-K30421593	timolol	Adrenergic receptor antagonist	CC(C)(C)NC[C@@H](O)COc1nsnc1N1CCOCC1	BLJRIMJGRPQVNF-SNVBAGLBSA-N	Adrenergic receptor antagonist	adrenergic receptor antagonist
BRD-K16037980	Z160	N-type calcium channel blocker	O=C(CC(c1ccccc1)c1ccccc1)N1CCN(CC1)C(c1ccccc1)c1ccccc1	VCPMZDWBEWTGNW-UHFFFAOYSA-N	N-type calcium channel blocker	N-type calcium channel blocker
BRD-K07954936	2-iminobiotin	Nitric oxide synthase inhibitor	OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=N)N[C@H]12	WWVANQJRLPIHNS-ZKWXMUAHSA-N	Nitric oxide synthase inhibitor	nitric oxide synthase inhibitor
BRD-A79431551	3-deazaadenosine	Adenosylhomocysteinase inhibitor	Nc1nccc2n(cnc12)[C@@H]1O[C@H](CO)C(O)C1O	DBZQFUNLCALWDY-JXACCQRMSA-N	Adenosylhomocysteinase inhibitor	adenosylhomocysteinase inhibitor
BRD-K17498618	atracurium		COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC	YXSLJKQTIDHPOT-LJCJQEJUSA-N	Acetylcholine receptor antagonist	acetylcholine receptor antagonist
BRD-K19939891	TIC-10		Cc1ccccc1CN1C2=NCCN2C(=O)C2=C1CCN(Cc1ccccc1)C2	RSAQARAFWMUYLL-UHFFFAOYSA-N	AKT inhibitor|TRAIL modulator	AKT inhibitor|TRAIL modulator
BRD-K54028654	trehalose		OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	HDTRYLNUVZCQOY-LIZSDCNHSA-N	Pharmacological chaperone	pharmacological chaperone
BRD-K59929863	CB-10-277		CN(C)N=Nc1ccc(cc1)C(O)=O	GUAZPUYTLMUTMA-ZHACJKMWSA-N		DNA synthesis inhibitor
BRD-K66035042	mannitol-D		OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	FBPFZTCFMRRESA-JGWLITMVSA-N	Mucolytic agent	diuretic
BRD-K82522873	N-6022		Cc1cc(ccc1-n1c(CCC(O)=O)ccc1-c1ccc(cc1)-n1ccnc1)C(N)=O	YVPGZQLRPAGKLA-UHFFFAOYSA-N	Alcohol dehydrogenase inhibitor	alcohol dehydrogenase inhibitor
BRD-K84892605	IOWH-032		Oc1c(Br)cc(cc1Br)-c1noc(n1)C(=O)NCc1ccc(Oc2ccccc2)cc1	DSFNLJXHXBIKDS-UHFFFAOYSA-N	CFTR channel antagonist	CFTR channel antagonist
BRD-K88506063	KD-025		CC(C)NC(=O)COc1cccc(c1)-c1nc(Nc2ccc3[nH]ncc3c2)c2ccccc2n1	GKHIVNAUVKXIIY-UHFFFAOYSA-N	Rho associated kinase inhibitor	rho associated kinase inhibitor
BRD-A95032015	abacavir		Nc1nc(NC2CC2)c2ncn(C3C[C@H](CO)C=C3)c2n1	MCGSCOLBFJQGHM-HNHGDDPOSA-N	Reverse transcriptase inhibitor	nucleoside reverse transcriptase inhibitor
BRD-A29844814	ABT-202		NC1CCN(C1)c1cccnc1	LVGMMVAWLISWJD-UHFFFAOYSA-N		acetylcholine receptor agonist
BRD-K07753030	acecainide		CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1	KEECCEWTUVWFCV-UHFFFAOYSA-N	Polarization inhibitor	polarization inhibitor
BRD-A29520968	acifran		CC1(OC(=CC1=O)C(O)=O)c1ccccc1	DFDGRKNOFOJBAJ-UHFFFAOYSA-N	Cholesterol inhibitor	cholesterol inhibitor
BRD-K63736853	acipimox		Cc1cnc(c[n+]1[O-])C(O)=O	DJQOOSBJCLSSEY-UHFFFAOYSA-N	Cholesterol inhibitor	cholesterol inhibitor
BRD-K13050541	acivicin		N[C@H]([C@@H]1CC(Cl)=NO1)C(O)=O	QAWIHIJWNYOLBE-ZAFYKAAXSA-N	Gamma glutamyltransferase Inhibitors	gamma glutamyltransferase inhibitor
BRD-K33483813	actarit		CC(=O)Nc1ccc(CC(O)=O)cc1	MROJXXOCABQVEF-UHFFFAOYSA-N	Interleukin receptor agonist	interleukin receptor agonist
BRD-K69247067	afloqualone		Cc1ccccc1-n1c(CF)nc2ccc(N)cc2c1=O	VDOSWXIDETXFET-UHFFFAOYSA-N	Acetylcholine receptor antagonist	acetylcholine receptor antagonist
BRD-K91495480	AGP-103		CCCCCCCCCCCCCCCCCCCCCC(O)=O	UKMSUNONTOPOIO-UHFFFAOYSA-N		membrane permeability inhibitor
BRD-K79131256	albendazole		CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1	HXHWSAZORRCQMX-UHFFFAOYSA-N	Tubulin inhibitor	tubulin polymerization inhibitor
BRD-K67043667	altretamine		CN(C)c1nc(nc(n1)N(C)C)N(C)C	UUVWYPNAQBNQJQ-UHFFFAOYSA-N	DNA synthesis inhibitor	DNA synthesis inhibitor
BRD-K70330367	amantadine		NC12CC3CC(CC(C3)C1)C2	DKNWSYNQZKUICI-UHFFFAOYSA-N	Glutamate receptor antagonist	glutamate receptor antagonist
BRD-K42948882	AMD-11070		NCCCCN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc12	WVLHHLRVNDMIAR-IBGZPJMESA-N	CC chemokine receptor antagonist	CC chemokine receptor antagonist
BRD-A30051119	amikacin		NCC[C@@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)C1O	LKCWBDHBTVXHDL-CJMFXXNZSA-N	Bacterial 30S ribosomal subunit inhibitor	bacterial 30S ribosomal subunit inhibitor
